run_id,stage,augmentation_mode,learning_rate,freeze_backbone,epochs_requested,epochs_ran,val_f1_best,test_accuracy,test_macro_f1,report_path,checkpoint_path,selected_for_final
resnet50_stage2_reference,stage2,flips,0.0001,False,30,9,0.9784886187232578,0.9787654320987654,0.9784682223501147,/kaggle/working/artifacts/reports/resnet50/resnet50_stage2_reference.json,/kaggle/working/checkpoints/resnet50/resnet50_stage2_reference/best_checkpoint.pt,True
resnet50_stage2_low_lr,stage2,flips,5e-05,False,30,11,0.9782244012213862,0.9795061728395061,0.97907776783121,/kaggle/working/artifacts/reports/resnet50/resnet50_stage2_low_lr.json,/kaggle/working/checkpoints/resnet50/resnet50_stage2_low_lr/best_checkpoint.pt,False
resnet50_stage2_no_aug,stage2,none,0.0001,False,30,5,0.9671767653687162,0.9646913580246913,0.9635678984014433,/kaggle/working/artifacts/reports/resnet50/resnet50_stage2_no_aug.json,/kaggle/working/checkpoints/resnet50/resnet50_stage2_no_aug/best_checkpoint.pt,False
resnet50_stage1_reference,stage1,flips,0.001,True,30,5,0.9291484274455989,0.9279012345679012,0.9258586591027888,/kaggle/working/artifacts/reports/resnet50/resnet50_stage1_reference.json,/kaggle/working/checkpoints/resnet50/stage1/best_checkpoint.pt,False
