run_id,augmentation_mode,learning_rate,epochs_requested,epochs_ran,val_f1_best,test_accuracy,test_macro_f1,report_path,checkpoint_path,selected_for_final
baseline_flips_low_lr,flips,0.0005,50,50,0.9597807253474178,0.9619753086419753,0.9608631195224152,/kaggle/working/artifacts/reports/baseline/baseline_flips_low_lr.json,/kaggle/working/checkpoints/baseline_cnn/baseline_flips_low_lr/best_checkpoint.pt,True
baseline_flips,flips,0.001,50,50,0.9518129996269049,0.9479012345679012,0.9462378044166989,/kaggle/working/artifacts/reports/baseline/baseline_flips.json,/kaggle/working/checkpoints/baseline_cnn/baseline_flips/best_checkpoint.pt,False
baseline_reference_none,none,0.001,50,50,0.9153625672952819,0.9123456790123456,0.9089490183702811,/kaggle/working/artifacts/reports/baseline/baseline_reference_none.json,/kaggle/working/checkpoints/baseline_cnn/baseline_reference_none/best_checkpoint.pt,False
